Realm	Subrealm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	ICTV_ID
Riboviria		Orthornavirae	Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Paavivirinae	Aalivirus		Aalivirus apekidu	ICTV20175589
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Aarhusvirus		Aarhusvirus dagda	ICTV201908380
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Aarhusvirus		Aarhusvirus katbat	ICTV201908381
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Aarhusvirus		Aarhusvirus luksen	ICTV201908382
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Aarhusvirus		Aarhusvirus mysterion	ICTV201908383
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Atkinsviridae		Aastrivirus		Aastrivirus faecicola	ICTV202316036
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Abaestuovirus		Abaestuovirus 8	ICTV202522018
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Abaiavirus		Abaiavirus POA1180	ICTV202214701
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Abbeymikolonvirus		Abbeymikolonvirus abbeymikolon	ICTV201907712
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Baphyvirales		Bacilladnaviridae		Aberdnavirus		Aberdnavirus waitai	ICTV202214992
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Mesyanzhinovviridae	Bradleyvirinae	Abidjanvirus		Abidjanvirus Ab18	ICTV20164973
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Mesyanzhinovviridae	Bradleyvirinae	Abidjanvirus		Abidjanvirus Ab19	ICTV20164974
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Mesyanzhinovviridae	Bradleyvirinae	Abidjanvirus		Abidjanvirus PaMx11	ICTV20164975
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Mesyanzhinovviridae	Bradleyvirinae	Abidjanvirus		Abidjanvirus ZC01	ICTV202112412
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Abouovirus		Abouovirus abouo	ICTV20164846
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Abouovirus		Abouovirus davies	ICTV20164847
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Molineuxvirinae	Acadevirus		Acadevirus PM116	ICTV201908578
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Molineuxvirinae	Acadevirus		Acadevirus PM85	ICTV201908579
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Molineuxvirinae	Acadevirus		Acadevirus PM93	ICTV201908576
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Molineuxvirinae	Acadevirus		Acadevirus Pm5460	ICTV201908577
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Molineuxvirinae	Acadevirus		Acadevirus bigMiraUFV01	ICTV202421046
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Molineuxvirinae	Acadevirus		Acadevirus premi	ICTV202421047
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Bclasvirinae	Acadianvirus		Acadianvirus acadian	ICTV20140408
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Bclasvirinae	Acadianvirus		Acadianvirus baee	ICTV20164948
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Bclasvirinae	Acadianvirus		Acadianvirus reprobate	ICTV20164949
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Bclasvirinae	Acadianvirus		Acadianvirus serendipitous	ICTV202113192
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Straboviridae	Twarogvirinae	Acajnonavirus		Acajnonavirus acj9	ICTV202012076
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus apogeeis	ICTV202318947
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus cometis	ICTV202318948
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus faculaes	ICTV202318949
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus lunaes	ICTV202318950
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus nebulais	ICTV202318951
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus parsecis	ICTV202318952
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus perigeeis	ICTV202318953
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus solis	ICTV202318954
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Schitoviridae	Demetervirinae	Acanvirus		Acanvirus Rheph16	ICTV202214819
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Schitoviridae	Demetervirinae	Acanvirus		Acanvirus Rheph22	ICTV202214818
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Schitoviridae	Demetervirinae	Acanvirus		Acanvirus Y26	ICTV202214817
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Schitoviridae	Demetervirinae	Acanvirus		Acanvirus Y38	ICTV202214816
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Peduoviridae		Acarajevirus		Acarajevirus bahia	ICTV202523310
Floreoviria		Shotokuvirae	Cressdnaviricota		Repensiviricetes		Geplafuvirales		Geplanaviridae		Acciovirus		Acciovirus arizlamas	ICTV202318484
Floreoviria		Shotokuvirae	Cressdnaviricota		Repensiviricetes		Geplafuvirales		Geplanaviridae		Acciovirus		Acciovirus quadrimis	ICTV202318485
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Munstervirinae	Aceathervirus		Aceathervirus RM10	ICTV202319214
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Kyanoviridae		Acionnavirus		Acionnavirus monteraybay	ICTV201907799
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Aclydivirus		Aclydivirus 6	ICTV202521995
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Acontivirus		Acontivirus 21	ICTV202522017
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Lispiviridae		Acridvirus		Acridvirus hangzhouense	ICTV202214190
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales				Actaeavirus		Actaeavirus CRP125	ICTV202421180
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autoscriptoviridae	Corkvirinae	Actinidiaevirus		Actinidiaevirus Ep4	ICTV202421160
Riboviria		Orthornavirae	Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Actantavirinae	Actinovirus		Actinovirus bernense	ICTV202009699
Riboviria		Orthornavirae	Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Actantavirinae	Actinovirus		Actinovirus halieutaeae	ICTV201856428
Riboviria		Orthornavirae	Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Actantavirinae	Actinovirus		Actinovirus triacanthodis	ICTV201856429
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Actovirus		Actovirus 41	ICTV202522007
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Actovirus		Actovirus 45	ICTV202522006
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Adahmuvirus		Adahmuvirus asiocola	ICTV202010988
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Adaiavirus		Adaiavirus adaia	ICTV202214964
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Adiligaturavirus		Adiligaturavirus 24	ICTV202521993
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Munstervirinae	Adovirus		Adovirus 519T2	ICTV202319212
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Munstervirinae	Adovirus		Adovirus IBDN1	ICTV202319211
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Mcshanvirinae	Adrianbuildvirus		Adrianbuildvirus ARI0923	ICTV202420799
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Mcshanvirinae	Adrianbuildvirus		Adrianbuildvirus IPP41	ICTV202420800
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Mcshanvirinae	Adrianbuildvirus		Adrianbuildvirus IPP42	ICTV202420797
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Mcshanvirinae	Adrianbuildvirus		Adrianbuildvirus IPP43	ICTV202420801
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Mcshanvirinae	Adrianbuildvirus		Adrianbuildvirus IPP44	ICTV202420796
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Mcshanvirinae	Adrianbuildvirus		Adrianbuildvirus IPP5	ICTV202420795
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Mcshanvirinae	Adrianbuildvirus		Adrianbuildvirus IPP51	ICTV202420798
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Mcshanvirinae	Adrianbuildvirus		Adrianbuildvirus SpSL1	ICTV202420794
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales				Aegirvirus		Aegirvirus SCBP42	ICTV201908235
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales				Aequorvirus		Aequorvirus HTVC041P	ICTV202421185
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autonotataviridae		Aerosvirus		Aerosvirus AS7	ICTV201908604
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autonotataviridae		Aerosvirus		Aerosvirus ZPAH7	ICTV201908603
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autonotataviridae		Aerosvirus		Aerosvirus av25AhydR2PP	ICTV201908602
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Affertcholeramvirus		Affertcholeramvirus CTXphi	ICTV19991040
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Affertcholeramvirus		Affertcholeramvirus preCTX1	ICTV202112621
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Affertcholeramvirus		Affertcholeramvirus preCTX2	ICTV202112622
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Crassvirales		Suoliviridae	Bearivirinae	Afonbuvirus		Afonbuvirus faecalis	ICTV202113116
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Crassvirales		Suoliviridae	Bearivirinae	Afonbuvirus		Afonbuvirus intestinihominis	ICTV202113114
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Crassvirales		Suoliviridae	Bearivirinae	Afonbuvirus		Afonbuvirus oralis	ICTV202522561
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Herelleviridae	Bastillevirinae	Agatevirus		Agatevirus Bp8pC	ICTV20150211
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Herelleviridae	Bastillevirinae	Agatevirus		Agatevirus agate	ICTV20150209
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Herelleviridae	Bastillevirinae	Agatevirus		Agatevirus bobb	ICTV20150210
									Alphasatellitidae	Geminialphasatellitinae	Ageyesisatellite		Ageyesisatellite agerasingaporense	ICTV20176012
									Alphasatellitidae	Geminialphasatellitinae	Ageyesisatellite		Ageyesisatellite gossypiarabiaense	ICTV20175664
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autonotataviridae	Melnykvirinae	Aghbyvirus		Aghbyvirus ISAO8	ICTV201908612
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Rohanvirales		Kirkoviridae		Aglavirus		Aglavirus caranthi	ICTV202318503
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Agmunavirus		Agmunavirus AGM1	ICTV202009142
Riboviria		Orthornavirae	Negarnaviricota	Polyploviricotina	Bunyaviricetes		Elliovirales		Hantaviridae	Agantavirinae	Agnathovirus		Agnathovirus eptatreti	ICTV201856433
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Magrovirales		Apasviridae		Agnivirus		Agnivirus brisbanense	ICTV202419926
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Chimalliviridae		Agricanvirus		Agricanvirus Ea3570	ICTV20164849
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Chimalliviridae		Agricanvirus		Agricanvirus deimos	ICTV20164848
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Chimalliviridae		Agricanvirus		Agricanvirus desertfox	ICTV201856995
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Chimalliviridae		Agricanvirus		Agricanvirus ray	ICTV20164850
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Chimalliviridae		Agricanvirus		Agricanvirus simmy50	ICTV20164851
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Chimalliviridae		Agricanvirus		Agricanvirus specialG	ICTV20164852
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Ackermannviridae	Aglimvirinae	Agtrevirus		Agtrevirus AG3	ICTV20125867
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Ackermannviridae	Aglimvirinae	Agtrevirus		Agtrevirus EM4	ICTV202008872
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Ackermannviridae	Aglimvirinae	Agtrevirus		Agtrevirus MK13	ICTV202008873
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Ackermannviridae	Aglimvirinae	Agtrevirus		Agtrevirus P46FS4	ICTV202008874
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Ackermannviridae	Aglimvirinae	Agtrevirus		Agtrevirus SKML39	ICTV20175465
Floreoviria		Shotokuvirae	Cressdnaviricota		Repensiviricetes		Geplafuvirales		Geplanaviridae		Aguamentivirus		Aguamentivirus avheatis	ICTV202318472
Floreoviria		Shotokuvirae	Cressdnaviricota		Repensiviricetes		Geplafuvirales		Geplanaviridae		Aguamentivirus		Aguamentivirus racskinis	ICTV202318471
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Aguilavirus		Aguilavirus mEp043	ICTV202009360
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Aguilavirus		Aguilavirus mEp213	ICTV202009361
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Munstervirinae	Ahaonvirus		Ahaonvirus 507T22	ICTV202319210
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Munstervirinae	Ahaonvirus		Ahaonvirus 507T23	ICTV202319209
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Casjensviridae		Ahduovirus		Ahduovirus AH2	ICTV201856759
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Ahotrevirus		Ahotrevirus AH03	ICTV202317786
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autonotataviridae	Melnykvirinae	Ahphunavirus		Ahphunavirus A014L	ICTV202421096
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autonotataviridae	Melnykvirinae	Ahphunavirus		Ahphunavirus AHPMCC7	ICTV202421094
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autonotataviridae	Melnykvirinae	Ahphunavirus		Ahphunavirus Ahp1	ICTV201908597
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autonotataviridae	Melnykvirinae	Ahphunavirus		Ahphunavirus CF7	ICTV201908596
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autonotataviridae	Melnykvirinae	Ahphunavirus		Ahphunavirus LAh1	ICTV202421093
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autonotataviridae	Melnykvirinae	Ahphunavirus		Ahphunavirus P2	ICTV202421095
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autonotataviridae	Melnykvirinae	Ahphunavirus		Ahphunavirus ST21	ICTV202421098
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autonotataviridae	Melnykvirinae	Ahphunavirus		Ahphunavirus yong1	ICTV202421097
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Kyanoviridae		Ahtivirus		Ahtivirus sagseatwo	ICTV201907803
Riboviria		Orthornavirae	Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Caphthovirinae	Ailurivirus		Ailurivirus agiapa	ICTV201856525
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Konodaiviridae		Akedovirus		Akedovirus syoka	ICTV202319189
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Crassvirales		Steigviridae	Asinivirinae	Akihdevirus		Akihdevirus balticus	ICTV202113433
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Akiravirus		Akiravirus akira	ICTV202113631
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Eekayvirinae	Akonivirus		Akonivirus akoni	ICTV202009985
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Eekayvirinae	Akonivirus		Akonivirus phedro	ICTV202009986
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Alachuavirus		Alachuavirus Xp15	ICTV202009159
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Xinmoviridae		Alasvirus		Alasvirus muscae	ICTV20186265
Riboviria									Tonesaviridae		Albetovirus		Albetovirus alphatabaci	ICTV20154642
Riboviria									Tonesaviridae		Albetovirus		Albetovirus betatabaci	ICTV20154643
Riboviria									Tonesaviridae		Albetovirus		Albetovirus gammatabaci	ICTV20154644
Volvereviria		Sangervirae	Phixviricota		Microviricetes		Alpavirales		Litilviridae		Alcafavirus		Alcafavirus faecalis	ICTV202522931
Volvereviria		Sangervirae	Phixviricota		Microviricetes		Alpavirales		Litenviridae		Alcanfavirus		Alcanfavirus faecalis	ICTV202522923
Volvereviria		Sangervirae	Phixviricota		Microviricetes		Alpavirales		Litenviridae		Alcanivirus		Alcanivirus faecalis	ICTV202522924
Volvereviria		Sangervirae	Phixviricota		Microviricetes		Alpavirales		Pikkuviridae		Alcapybaravirus		Alcapybaravirus parvus	ICTV202522940
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alcestovirus		Alcestovirus geovivens	ICTV202316834
Volvereviria		Sangervirae	Phixviricota		Microviricetes		Alpavirales		Litilviridae		Alciorovirus		Alciorovirus intestinalis	ICTV202522932
Volvereviria		Sangervirae	Phixviricota		Microviricetes		Alpavirales		Litilviridae		Alcryvirus		Alcryvirus antarcticaense	ICTV202522933
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Alcyoneusvirus		Alcyoneusvirus K641	ICTV201856654
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Alcyoneusvirus		Alcyoneusvirus RaK2	ICTV201856655
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Atkinsviridae		Aldormivirus		Aldormivirus defluviicola	ICTV202010801
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Atkinsviridae		Aldormivirus		Aldormivirus luticola	ICTV202010802
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Atkinsviridae		Aldormivirus		Aldormivirus lutihabitans	ICTV202010803
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Atkinsviridae		Aldormivirus		Aldormivirus lutivivens	ICTV202010805
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Atkinsviridae		Aldormivirus		Aldormivirus peladaptatum	ICTV202010806
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Atkinsviridae		Aldormivirus		Aldormivirus pelenecus	ICTV202010748
Floreoviria		Shotokuvirae	Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Secondpapillomavirinae	Alefpapillomavirus		Alefpapillomavirus 1	ICTV20175884
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Zimmerviridae	Jacobvirinae	Alegriavirus		Alegriavirus av2B8	ICTV202009353
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Blumeviridae		Alehndavirus		Alehndavirus ruminicola	ICTV202010914
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus agradaptatum	ICTV202010993
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus agrenecus	ICTV202010998
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus agricola	ICTV202010997
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus agrihabitans	ICTV202010999
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus allofaecadaptatum	ICTV202316835
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus allofaecicola	ICTV202316836
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus allofaecivicinum	ICTV202316837
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus allofundenecus	ICTV202316838
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus allofundihabitans	ICTV202316839
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus allofundivicinum	ICTV202316840
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus allofundivivens	ICTV202316841
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus allonemorisadaptatum	ICTV202316842
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus allonemoriscola	ICTV202316843
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus allonemorisenecus	ICTV202316844
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus allonemorishabitans	ICTV202316845
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus asiadaptatum	ICTV202011306
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus asiohabitans	ICTV202010994
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus asiovicinum	ICTV202010995
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus asiovivens	ICTV202010990
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus borboradaptatum	ICTV202010996
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus chthonovicinum	ICTV202011105
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus faecadaptatum	ICTV202316846
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus faecicola	ICTV202316847
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus faecihabitans	ICTV202316848
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus faecivicinum	ICTV202316849
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus faecivivens	ICTV202316850
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus frumenticola	ICTV202316851
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus frumentivicinum	ICTV202316852
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus frumentivivens	ICTV202316853
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus fundenecus	ICTV202316854
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus fundicola	ICTV202316855
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus fundihabitans	ICTV202316856
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus fundivicinum	ICTV202316857
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus fundivivens	ICTV202316858
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus geovicinum	ICTV202316859
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Alehxovirus		Alehxovirus humivicinum	ICTV202010991
