Realm	Subrealm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	ICTV_ID
Riboviria		Orthornavirae	Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus usolani	ICTV19911727
Riboviria		Orthornavirae	Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus vaccinii	ICTV20125743
Riboviria		Orthornavirae	Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus vittariae	ICTV202318386
Riboviria		Orthornavirae	Pisuviricota		Pisoniviricetes		Picornavirales		Secoviridae	Comovirinae	Nepovirus		Nepovirus yunnanense	ICTV202522713
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Kyanoviridae		Neptunevirus		Neptunevirus srim18	ICTV201907782
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Kyanoviridae		Neptunevirus		Neptunevirus srim50	ICTV201907783
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Atkinsviridae		Neratovirus		Neratovirus caenihabitans	ICTV202010786
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Kyanoviridae		Nereusvirus		Nereusvirus tusconc4	ICTV201907796
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Kyanoviridae		Nereusvirus		Nereusvirus tusconc61	ICTV201907797
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Kyanoviridae		Neritesvirus		Neritesvirus scam8	ICTV202113999
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales			Sechaudvirinae	Nerivirus		Nerivirus SSRP01	ICTV202421168
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Kyanoviridae		Nerrivikvirus		Nerrivikvirus srim2	ICTV201907789
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Colwellvirinae	Nerthusvirus		Nerthusvirus BUCT553	ICTV202421126
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Colwellvirinae	Nerthusvirus		Nerthusvirus achelous	ICTV201908628
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Colwellvirinae	Nerthusvirus		Nerthusvirus alpheus	ICTV201908629
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Colwellvirinae	Nerthusvirus		Nerthusvirus nerthus	ICTV201908627
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Jormunvirales		Draupnirviridae		Nervillivirus		Nervillivirus flovetense	ICTV202318736
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Zimmerviridae	Jacobvirinae	Nesevirus		Nesevirus ev243	ICTV202009358
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Zimmerviridae	Jacobvirinae	Nesevirus		Nesevirus nv2G7b	ICTV202009357
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Rohanvirales		Kirkoviridae		Nessavirus		Nessavirus lothluin	ICTV202318512
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Timlovirales		Steitzviridae		Nethevirus		Nethevirus luticola	ICTV202317567
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Nevevirus		Nevevirus P078	ICTV202011561
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Nevevirus		Nevevirus P092	ICTV202011563
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Nevevirus		Nevevirus P118	ICTV202011564
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Nevevirus		Nevevirus P162	ICTV202011562
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Deeyouvirinae	Nevillevirus		Nevillevirus neville	ICTV202214571
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Deeyouvirinae	Nevillevirus		Nevillevirus rabbitrun	ICTV202214573
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Deeyouvirinae	Nevillevirus		Nevillevirus trax	ICTV202214572
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Fiersviridae		Newbovirus		Newbovirus messivivens	ICTV202316529
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Fiersviridae		Newbovirus		Newbovirus pelocola	ICTV202316530
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Casjensviridae		Newforgelanevirus		Newforgelanevirus MA12	ICTV202113031
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Fiersviridae		Newpuvirus		Newpuvirus terrivicinum	ICTV202316531
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Ackermannviridae		Nezavisimistyvirus		Nezavisimistyvirus Ea2809	ICTV20175475
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Ackermannviridae		Nezavisimistyvirus		Nezavisimistyvirus bue1	ICTV202008923
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Durvirinae	Nhagosvirus		Nhagosvirus nhagos	ICTV202522675
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Fiersviridae		Niankuvirus		Niankuvirus caenivicinum	ICTV202010500
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes						Nicedsevirus		Nicedsevirus caenivivens	ICTV202011518
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Nickievirus		Nickievirus nickie	ICTV201856852
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus beschimmelingae	ICTV202420152
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus bolorensis	ICTV202420156
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus floridurae	ICTV202420157
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus hallitusensis	ICTV202420151
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus lizumae	ICTV202420159
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Lineavirales		Oomyviridae		Nicoomyvirus		Nicoomyvirus llwydnae	ICTV202420158
